step,k,minCalibratedJointProbability,maxLegs,maxCombinedOdds,capMin,capMax,recencyWeighting,nLeagueMin,includeConf,trainCoupons,trainHitRate,trainRoi,testCoupons,testHitRate,testRoi,testMaxDrawdown,verdict
1,5,0.25,3,6,0.05,0.8,"flat",15,true,1323,0.4474678760393046,0.9619877551020375,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,5,0.25,3,6,0.05,0.85,"flat",15,true,1323,0.4474678760393046,0.9619877551020375,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,5,0.25,3,6,0.05,0.9,"flat",15,true,1323,0.4474678760393046,0.9619877551020375,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,5,0.25,3,6,0.1,0.8,"flat",15,true,1323,0.4474678760393046,0.9619877551020375,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,5,0.25,3,6,0.1,0.85,"flat",15,true,1323,0.4474678760393046,0.9619877551020375,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,5,0.25,3,6,0.1,0.9,"flat",15,true,1323,0.4474678760393046,0.9619877551020375,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,5,0.25,3,6,0.15,0.8,"flat",15,true,1323,0.4474678760393046,0.9619877551020375,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,5,0.25,3,6,0.15,0.85,"flat",15,true,1323,0.4474678760393046,0.9619877551020375,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,5,0.25,3,6,0.15,0.9,"flat",15,true,1323,0.4474678760393046,0.9619877551020375,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,5,0.3,3,6,0.05,0.8,"flat",15,true,1293,0.4539829853054911,0.9894627223511179,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,5,0.3,3,6,0.05,0.85,"flat",15,true,1293,0.4539829853054911,0.9894627223511179,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,5,0.3,3,6,0.05,0.9,"flat",15,true,1293,0.4539829853054911,0.9894627223511179,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,5,0.3,3,6,0.1,0.8,"flat",15,true,1293,0.4539829853054911,0.9894627223511179,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,5,0.3,3,6,0.1,0.85,"flat",15,true,1293,0.4539829853054911,0.9894627223511179,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,5,0.3,3,6,0.1,0.9,"flat",15,true,1293,0.4539829853054911,0.9894627223511179,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,5,0.3,3,6,0.15,0.8,"flat",15,true,1293,0.4539829853054911,0.9894627223511179,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,5,0.3,3,6,0.15,0.85,"flat",15,true,1293,0.4539829853054911,0.9894627223511179,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,5,0.3,3,6,0.15,0.9,"flat",15,true,1293,0.4539829853054911,0.9894627223511179,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,5,0.35,3,6,0.05,0.8,"flat",15,true,1230,0.45528455284552843,1.0027026829268273,96,0.4895833333333333,0.47052187500000003,8,"PASS"
1,5,0.35,3,6,0.05,0.85,"flat",15,true,1230,0.45528455284552843,1.0027026829268273,96,0.4895833333333333,0.47052187500000003,8,"PASS"
